eps1	q	p	epsv
18.49730394	327.3307905	263.6653953	-7.291450767
18.54709334	327.7403019	263.870151	-7.297431514
18.60062928	327.9642474	263.9821237	-7.304792433
18.65268632	327.4110941	263.7055471	-7.311233238
18.70434898	326.9798265	263.4899133	-7.316753927
18.75887084	327.2897866	263.6448933	-7.323654789
18.81132226	326.0636008	263.0318004	-7.329635536
18.8632807	325.9343314	262.9671657	-7.335156226
18.91247855	325.9519313	262.9759657	-7.341136973
18.97133849	325.4571237	262.7285619	-7.34711772
19.02438146	325.4219282	262.7109641	-7.354018582
19.07673428	324.9591573	262.4795787	-7.360459386
19.13658016	324.3120545	262.1560273	-7.365980076
19.18558082	324.165869	262.0829345	-7.371960823
19.2384266	323.8443316	261.9221658	-7.376561398
19.29827247	324.5696917	262.2848459	-7.382542145
19.35309011	323.3621719	261.681086	-7.388522892
19.40002032	322.7796414	261.3898207	-7.392663409
19.44773928	322.2448271	261.1224136	-7.398184099
19.50443018	321.8094251	260.9047126	-7.404164846
19.56003656	321.3051947	260.6525974	-7.409685535
19.60972737	321.2942224	260.6471112	-7.415206225
19.66079848	321.3495658	260.6747829	-7.419346742
19.72044717	320.551236	260.275618	-7.424867432
19.77043376	321.3123499	260.656175	-7.430388121
19.81874427	320.9735217	260.4867609	-7.435908811
19.87109709	320.4736542	260.2368271	-7.442349615
19.92335132	319.5331281	259.7665641	-7.44695019
19.97738021	319.7301101	259.8650551	-7.453851052
20.04166277	319.9382669	259.9691335	-7.458911684
20.09943819	319.2488739	259.624437	-7.463052201
20.15159383	318.5433896	259.2716948	-7.469032948
20.19872122	317.5779883	258.7889942	-7.47409358
20.25363745	317.7206906	258.8603453	-7.47961427
20.30675329	316.0833812	258.0416906	-7.48329473
20.35986914	316.5728297	258.2864149	-7.487895304
20.41298498	315.4291622	257.7145811	-7.491575764
20.46610082	315.9083613	257.9541807	-7.497096454
20.51921666	316.0009784	258.0004892	-7.501236971
20.5723325	315.9119049	257.9559525	-7.505377488
20.62544834	315.599923	257.7999615	-7.509978063
20.67856418	315.1795139	257.589757	-7.512738407
20.73168002	315.0514271	257.5257136	-7.518719154
20.78479586	315.7145495	257.8572748	-7.521939557
20.8379117	315.5188142	257.7594071	-7.525620016
20.89102754	314.7655109	257.3827555	-7.530220591
20.94414338	314.4204694	257.2102347	-7.534821166
20.99725923	314.4414185	257.2207093	-7.539881798
21.05037507	314.7622693	257.3811347	-7.542642143
