            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
             [s]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]             [%]

    2.57062e+002    8.00521e+002    7.00030e+002    5.78816e+002    2.21705e+002    1.21214e+002    1.54711e+002    1.00491e+002    1.84607e-001
    2.59078e+002    8.00834e+002    6.99975e+002    5.79167e+002    2.21667e+002    1.20807e+002    1.54427e+002    1.00859e+002    1.85611e-001
    2.61156e+002    8.01138e+002    6.99873e+002    5.79509e+002    2.21629e+002    1.20364e+002    1.54119e+002    1.01265e+002    1.87617e-001
    2.63187e+002    8.01436e+002    6.99864e+002    5.79934e+002    2.21502e+002    1.19930e+002    1.53787e+002    1.01572e+002    1.89624e-001
    2.65266e+002    8.01597e+002    6.99910e+002    5.80257e+002    2.21339e+002    1.19653e+002    1.53548e+002    1.01686e+002    1.90627e-001
    2.67281e+002    8.01848e+002    6.99846e+002    5.80581e+002    2.21267e+002    1.19265e+002    1.53266e+002    1.02003e+002    1.92634e-001
    2.69391e+002    8.02108e+002    6.99873e+002    5.80941e+002    2.21167e+002    1.18932e+002    1.53011e+002    1.02235e+002    1.94640e-001
    2.71469e+002    8.02356e+002    6.99938e+002    5.81292e+002    2.21064e+002    1.18646e+002    1.52785e+002    1.02418e+002    1.95644e-001
    2.73484e+002    8.02512e+002    6.99846e+002    5.81597e+002    2.20915e+002    1.18249e+002    1.52471e+002    1.02666e+002    1.97650e-001
    2.75547e+002    8.02759e+002    6.99929e+002    5.81985e+002    2.20775e+002    1.17944e+002    1.52221e+002    1.02831e+002    1.98654e-001
    2.77562e+002    8.02958e+002    6.99855e+002    5.82317e+002    2.20640e+002    1.17537e+002    1.51905e+002    1.03103e+002    2.00660e-001
    2.79656e+002    8.03162e+002    6.99919e+002    5.82650e+002    2.20512e+002    1.17270e+002    1.51684e+002    1.03243e+002    2.01663e-001
    2.81672e+002    8.03330e+002    6.99901e+002    5.82946e+002    2.20384e+002    1.16955e+002    1.51432e+002    1.03429e+002    2.03670e-001
    2.83687e+002    8.03636e+002    6.99892e+002    5.83269e+002    2.20367e+002    1.16623e+002    1.51204e+002    1.03744e+002    2.04673e-001
    2.85766e+002    8.03816e+002    6.99882e+002    5.83528e+002    2.20288e+002    1.16355e+002    1.50999e+002    1.03933e+002    2.06680e-001
    2.87797e+002    8.04079e+002    6.99836e+002    5.83925e+002    2.20154e+002    1.15912e+002    1.50659e+002    1.04242e+002    2.07683e-001
    2.89859e+002    8.04281e+002    6.99873e+002    5.84239e+002    2.20042e+002    1.15635e+002    1.50437e+002    1.04407e+002    2.09690e-001
    2.91875e+002    8.04471e+002    6.99984e+002    5.84516e+002    2.19955e+002    1.15468e+002    1.50297e+002    1.04487e+002    2.10693e-001
    2.93891e+002    8.04726e+002    6.99873e+002    5.84876e+002    2.19849e+002    1.14997e+002    1.49948e+002    1.04852e+002    2.12700e-001
    2.95984e+002    8.04941e+002    6.99901e+002    5.85209e+002    2.19732e+002    1.14692e+002    1.49706e+002    1.05040e+002    2.14706e-001
    2.98094e+002    8.05152e+002    6.99892e+002    5.85532e+002    2.19620e+002    1.14360e+002    1.49446e+002    1.05260e+002    2.15710e-001
    3.00156e+002    8.05434e+002    6.99901e+002    5.85865e+002    2.19569e+002    1.14036e+002    1.49214e+002    1.05533e+002    2.17716e-001
    3.02172e+002    8.05616e+002    6.99910e+002    5.86142e+002    2.19475e+002    1.13769e+002    1.49004e+002    1.05706e+002    2.19723e-001
    3.04187e+002    8.05784e+002    6.99846e+002    5.86428e+002    2.19356e+002    1.13418e+002    1.48730e+002    1.05938e+002    2.21729e-001
    3.06266e+002    8.06007e+002    6.99892e+002    5.86788e+002    2.19219e+002    1.13103e+002    1.48475e+002    1.06115e+002    2.22733e-001
    3.08281e+002    8.06218e+002    6.99938e+002    5.87121e+002    2.19097e+002    1.12817e+002    1.48244e+002    1.06280e+002    2.24739e-001
    3.10359e+002    8.06396e+002    6.99966e+002    5.87435e+002    2.18962e+002    1.12531e+002    1.48008e+002    1.06431e+002    2.26746e-001
    3.12391e+002    8.06560e+002    6.99901e+002    5.87675e+002    2.18885e+002    1.12226e+002    1.47779e+002    1.06659e+002    2.28753e-001
    3.14453e+002    8.06765e+002    6.99836e+002    5.88017e+002    2.18748e+002    1.11820e+002    1.47462e+002    1.06928e+002    2.29756e-001
    3.16484e+002    8.06943e+002    6.99864e+002    5.88331e+002    2.18612e+002    1.11533e+002    1.47226e+002    1.07079e+002    2.31762e-001
    3.18547e+002    8.07101e+002    6.99873e+002    5.88608e+002    2.18493e+002    1.11265e+002    1.47008e+002    1.07227e+002    2.33769e-001
    3.20562e+002    8.07250e+002    6.99919e+002    5.88922e+002    2.18328e+002    1.10997e+002    1.46774e+002    1.07331e+002    2.34772e-001
    3.22656e+002    8.07476e+002    6.99919e+002    5.89227e+002    2.18249e+002    1.10693e+002    1.46545e+002    1.07556e+002    2.36779e-001
    3.24687e+002    8.07662e+002    6.99882e+002    5.89449e+002    2.18213e+002    1.10434e+002    1.46360e+002    1.07780e+002    2.38786e-001
    3.26766e+002    8.07846e+002    6.99827e+002    5.89763e+002    2.18084e+002    1.10065e+002    1.46071e+002    1.08019e+002    2.39789e-001
    3.28781e+002    8.08002e+002    6.99938e+002    5.90012e+002    2.17990e+002    1.09926e+002    1.45947e+002    1.08064e+002    2.41796e-001
    3.30875e+002    8.08183e+002    6.99956e+002    5.90289e+002    2.17894e+002    1.09667e+002    1.45743e+002    1.08226e+002    2.43802e-001
    3.32906e+002    8.08376e+002    6.99892e+002    5.90576e+002    2.17800e+002    1.09316e+002    1.45477e+002    1.08484e+002    2.45809e-001
    3.34969e+002    8.08600e+002    6.99836e+002    5.90880e+002    2.17719e+002    1.08956e+002    1.45210e+002    1.08764e+002    2.46812e-001
    3.36984e+002    8.08636e+002    6.99910e+002    5.91158e+002    2.17478e+002    1.08753e+002    1.44995e+002    1.08726e+002    2.48819e-001
    3.39062e+002    8.08889e+002    6.99966e+002    5.91407e+002    2.17482e+002    1.08559e+002    1.44866e+002    1.08923e+002    2.50825e-001
    3.41078e+002    8.09009e+002    6.99929e+002    5.91638e+002    2.17371e+002    1.08291e+002    1.44651e+002    1.09080e+002    2.52832e-001
    3.43156e+002    8.09160e+002    6.99947e+002    5.91980e+002    2.17181e+002    1.07967e+002    1.44372e+002    1.09213e+002    2.54838e-001
    3.45187e+002    8.09316e+002    6.99873e+002    5.92238e+002    2.17077e+002    1.07635e+002    1.44116e+002    1.09442e+002    2.55842e-001
    3.47250e+002    8.09518e+002    6.99975e+002    5.92479e+002    2.17039e+002    1.07496e+002    1.44011e+002    1.09543e+002    2.57848e-001
    3.49281e+002    8.09682e+002    6.99919e+002    5.92765e+002    2.16918e+002    1.07155e+002    1.43742e+002    1.09763e+002    2.59855e-001
    3.51359e+002    8.09838e+002    6.99919e+002    5.92996e+002    2.16842e+002    1.06924e+002    1.43563e+002    1.09918e+002    2.61862e-001
    3.53375e+002    8.09978e+002    6.99929e+002    5.93254e+002    2.16724e+002    1.06674e+002    1.43357e+002    1.10049e+002    2.62865e-001
    3.55391e+002    8.10155e+002    6.99929e+002    5.93513e+002    2.16642e+002    1.06415e+002    1.43158e+002    1.10227e+002    2.64871e-001
    3.57469e+002    8.10275e+002    6.99901e+002    5.93809e+002    2.16466e+002    1.06092e+002    1.42883e+002    1.10374e+002    2.65875e-001
    3.59484e+002    8.10401e+002    6.99882e+002    5.94040e+002    2.16362e+002    1.05843e+002    1.42682e+002    1.10519e+002    2.67881e-001
    3.61578e+002    8.10596e+002    6.99919e+002    5.94252e+002    2.16344e+002    1.05667e+002    1.42560e+002    1.10677e+002    2.69888e-001
    3.63656e+002    8.10794e+002    6.99864e+002    5.94557e+002    2.16237e+002    1.05307e+002    1.42284e+002    1.10930e+002    2.71895e-001
    3.65687e+002    8.10892e+002    6.99956e+002    5.94806e+002    2.16086e+002    1.05150e+002    1.42129e+002    1.10936e+002    2.72898e-001
    3.67766e+002    8.11000e+002    6.99910e+002    5.95028e+002    2.15972e+002    1.04882e+002    1.41912e+002    1.11090e+002    2.74904e-001
    3.69797e+002    8.11161e+002    6.99901e+002    5.95250e+002    2.15912e+002    1.04651e+002    1.41738e+002    1.11260e+002    2.76911e-001
    3.71875e+002    8.11307e+002    6.99919e+002    5.95564e+002    2.15743e+002    1.04356e+002    1.41485e+002    1.11387e+002    2.77914e-001
    3.73906e+002    8.11451e+002    6.99919e+002    5.95730e+002    2.15721e+002    1.04189e+002    1.41367e+002    1.11531e+002    2.79921e-001
    3.75984e+002    8.11549e+002    6.99882e+002    5.95952e+002    2.15597e+002    1.03931e+002    1.41153e+002    1.11666e+002    2.81928e-001
    3.78047e+002    8.11727e+002    6.99882e+002    5.96284e+002    2.15442e+002    1.03598e+002    1.40880e+002    1.11844e+002    2.83934e-001
    3.80078e+002    8.11784e+002    6.99947e+002    5.96432e+002    2.15352e+002    1.03515e+002    1.40794e+002    1.11837e+002    2.84937e-001
    3.82156e+002    8.11970e+002    6.99864e+002    5.96682e+002    2.15288e+002    1.03183e+002    1.40551e+002    1.12106e+002    2.86944e-001
